data;vazaoturbItaipu
04/02/2022;5328
11/02/2022;5874
18/02/2022;5844
25/02/2022;5600
04/03/2022;6298
11/03/2022;6961
18/03/2022;6957
25/03/2022;7278
01/04/2022;7023
08/04/2022;7021
15/04/2022;6174
22/04/2022;5390
29/04/2022;6430
06/05/2022;5772
13/05/2022;6284
20/05/2022;6412
27/05/2022;6073
03/06/2022;7110
10/06/2022;6123
17/06/2022;6779
24/06/2022;6466
08/07/2022;6527
15/07/2022;6372
22/07/2022;6444
29/07/2022;6289
05/08/2022;6011
12/08/2022;6613
19/08/2022;7050
26/08/2022;7597
02/09/2022;7267
09/09/2022;6874
16/09/2022;7246
23/09/2022;7241
30/09/2022;8302
07/10/2022;9034
14/10/2022;9080
21/10/2022;10493
28/10/2022;12052
04/11/2022;10681
11/11/2022;11450
18/11/2022;10724
25/11/2022;10281
02/12/2022;10381
09/12/2022;9018
16/12/2022;9437
23/12/2022;8719
30/12/2022;7512
06/01/2023;6485
13/01/2023;7487
20/01/2023;8279
27/01/2023;8891
03/02/2023;8732
10/02/2023;9073
17/02/2023;9569
24/02/2023;9274
03/03/2023;9895
10/03/2023;10140
17/03/2023;9702
24/03/2023;10453
31/03/2023;9887
07/04/2023;8946
14/04/2023;9018
21/04/2023;8984
28/04/2023;8580
05/05/2023;9088
12/05/2023;8914
19/05/2023;8499
26/05/2023;7839
02/06/2023;7692
09/06/2023;6591
16/06/2023;8045
23/06/2023;8874
30/06/2023;8604
07/07/2023;7840
14/07/2023;7711
21/07/2023;7387
28/07/2023;7688
04/08/2023;7809
11/08/2023;7739
18/08/2023;7702
25/08/2023;9056
01/09/2023;8622
08/09/2023;8105
15/09/2023;8224
22/09/2023;8919
29/09/2023;10110
06/10/2023;9218
13/10/2023;8476
20/10/2023;8911
27/10/2023;9041
03/11/2023;10673
10/11/2023;11259
17/11/2023;11498
24/11/2023;11246
01/12/2023;10430
08/12/2023;11470
15/12/2023;11141
22/12/2023;11596
29/12/2023;9344
05/01/2024;9472
