data;demanda
2020-06-19;70323,00
2020-06-26;71743,00
2020-07-03;71704,00
2020-07-10;72225,00
2020-07-17;72317,00
2020-07-24;72745,00
2020-07-31;73965,00
2020-08-07;72848,00
2020-08-14;75337,00
2020-08-21;76127,00
2020-08-28;74245,00
2020-09-04;75228,00
2020-09-11;77627,00
2020-09-18;77233,00
2020-09-25;75980,00
2020-10-02;84748,00
2020-10-09;84530,00
2020-10-16;80727,00
2020-10-23;78061,00
2020-10-30;79833,00
2020-11-06;75201,00
2020-11-13;78400,00
2020-11-20;80636,00
2020-11-27;81682,00
2020-12-04;82764,00
2020-12-11;79420,00
2020-12-18;83410,00
2020-12-25;79986,00
2021-01-01;77338,00
2021-01-08;82787,00
2021-01-15;84137,00
2021-01-22;80632,00
2021-01-29;83679,00
2021-02-05;86483,00
2021-02-12;79745,00
2021-02-19;80994,00
2021-02-26;84558,00
2021-03-05;82202,00
2021-03-12;82483,00
2021-03-19;84790,00
2021-03-26;83796,00
2021-04-02;81656,00
2021-04-09;79910,00
2021-04-16;79834,00
2021-04-23;78858,00
2021-04-30;79756,00
2021-05-07;80405,00
2021-05-14;80164,00
2021-05-21;81310,00
2021-05-28;81351,00
2021-06-04;80035,00
2021-06-11;80548,00
2021-06-18;80041,00
2021-06-25;79363,00
2021-07-02;78527,00
2021-07-09;78740,00
2021-07-16;80248,00
2021-07-23;79878,00
2021-07-30;80441,00
2021-08-06;79478,00
2021-08-13;80123,00
2021-08-20;81780,00
2021-08-27;83274,00
2021-09-03;80327,00
2021-09-10;82521,00
2021-09-17;83233,00
2021-09-24;83645,00
2021-10-01;83590,00
2021-10-08;81022,00
2021-10-15;79511,00
2021-10-22;77747,00
2021-10-29;80718,00
2021-11-05;82045,00
2021-11-12;81536,00
2021-11-19;83176,00
2021-11-26;86799,00
2021-12-03;85051,00
2021-12-10;80977,00
2021-12-17;84168,00
2021-12-24;82795,00
2021-12-31;78005,00
2022-01-07;81065,00
2022-01-14;82374,00
2022-01-21;86748,00
2022-01-28;88576,00
2022-02-04;83590,00
2022-02-11;82173,00
2022-02-18;85343,00
2022-02-25;87191,00
2022-03-04;87297,00
2022-03-11;88562,00
2022-03-18;87579,00
2022-03-25;83880,00
2022-04-01;83632,00
2022-04-08;82411,00
2022-04-15;83155,00
2022-04-22;80573,00
2022-04-29;84536,00
2022-05-06;82197,00
2022-05-13;81462,00
2022-05-20;80885,00
2022-05-27;81685,00
2022-06-03;81872,00
2022-06-10;80788,00
2022-06-17;79636,00
2022-06-24;80896,00
2022-07-01;80225,00
2022-07-08;80726,00
2022-07-15;81806,00
2022-07-22;81785,00
2022-07-29;82077,00
2022-08-05;82131,00
2022-08-12;81694,00
2022-08-19;81693,00
2022-08-26;80697,00
2022-09-02;80745,00
2022-09-09;81920,00
2022-09-16;82531,00
2022-09-23;83028,00
2022-09-30;83202,00
2022-10-07;82821,00
2022-10-14;82657,00
2022-10-21;83644,00
2022-10-28;83902,00
2022-11-04;82368,00
2022-11-11;83317,00
2022-11-18;83624,00
2022-11-25;85073,00
2022-12-02;83464,00
2022-12-09;84696,00
2022-12-16;86325,00
2022-12-23;79184,00
2022-12-30;78284,00
2023-01-06;79954,00
2023-01-13;84513,00
2023-01-20;85632,00
2023-01-27;86049,00
2023-02-03;87128,00
2023-02-10;87603,00
2023-02-17;89100,00
2023-02-24;85515,00
2023-03-03;88119,00
2023-03-10;88135,00
2023-03-17;87007,00
2023-03-24;88825,00
2023-03-31;87494,00
2023-04-07;85855,00
2023-04-14;85705,00
2023-04-21;85059,00
2023-04-28;86266,00
2023-05-05;86098,00
2023-05-12;84088,00
2023-05-19;83912,00
2023-05-26;84997,00
2023-06-02;84536,00
2023-06-09;82257,00
2023-06-16;83234,00
2023-06-23;82868,00
2023-06-30;83042,00
2023-07-07;82084,00
2023-07-14;83910,00
2023-07-21;82802,00
2023-07-28;84029,00
2023-08-04;84565,00
2023-08-11;84620,00
2023-08-18;84573,00
2023-08-25;88624,00
2023-09-01;84816,00
2023-09-08;87479,00
2023-09-15;88286,00
2023-09-22;92560,00
2023-09-29;97167,00
2023-10-06;91648,00
2023-10-13;90123,00
2023-10-20;89419,00
2023-10-27;93923,00
